label,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
squat,0.5248633623123169,0.5556253790855408,0.46539241075515747,0.5698994994163513,0.5070227384567261,0.6512773633003235,0.4388812184333801,0.6721940636634827,0.4703323245048523,0.5748894214630127,0.4520394206047058,0.594319224357605,0.5611752271652222,0.7290541529655457,0.5226264595985413,0.7332819700241089,0.5232705473899841,0.7410876750946045,0.44683027267456055,0.7426823973655701,0.5484929084777832,0.9038623571395874,0.483344167470932,0.885332465171814
squat,0.5225623250007629,0.5788230299949646,0.465817928314209,0.5988392233848572,0.5070909261703491,0.6730826497077942,0.43777579069137573,0.6980344653129578,0.4666304588317871,0.6004668474197388,0.44960078597068787,0.6153649687767029,0.5643589496612549,0.7523716688156128,0.5244092345237732,0.758274495601654,0.5229611396789551,0.7492201924324036,0.4454360604286194,0.7473800778388977,0.5479495525360107,0.9042227864265442,0.481997549533844,0.8853878378868103
squat,0.5200563073158264,0.552761435508728,0.4657486379146576,0.5763914585113525,0.5057231783866882,0.643682599067688,0.43604499101638794,0.6770454049110413,0.4666293263435364,0.5814529657363892,0.4488900303840637,0.5926675200462341,0.5639345049858093,0.7244146466255188,0.5249320268630981,0.7339819073677063,0.5251678228378296,0.7476756572723389,0.4451194405555725,0.7453852891921997,0.5485818982124329,0.9044623374938965,0.48120078444480896,0.8848323225975037
squat,0.5215304493904114,0.46993324160575867,0.46937769651412964,0.4996733069419861,0.5037769675254822,0.5513527989387512,0.43799668550491333,0.5887527465820312,0.4635035991668701,0.4852181375026703,0.44902387261390686,0.5005684494972229,0.5608468055725098,0.6557786464691162,0.5220845937728882,0.6666404008865356,0.5305411219596863,0.7382776141166687,0.44722381234169006,0.7401026487350464,0.5496460795402527,0.9032960534095764,0.4822944700717926,0.8835593461990356
squat,0.5258480310440063,0.39892295002937317,0.4731658101081848,0.42837685346603394,0.505607008934021,0.46899712085723877,0.44020503759384155,0.511146068572998,0.46996769309043884,0.4029943346977234,0.45072951912879944,0.4274301826953888,0.5593191385269165,0.6085718870162964,0.5208130478858948,0.6159043908119202,0.5370258092880249,0.740348756313324,0.45605459809303284,0.7258806228637695,0.5507321357727051,0.9034528732299805,0.4832611083984375,0.8847042322158813
squat,0.5296519994735718,0.3415699303150177,0.47759881615638733,0.36665043234825134,0.5072748064994812,0.4047636389732361,0.4437703490257263,0.4471857249736786,0.4762308597564697,0.3403126299381256,0.45548492670059204,0.364962637424469,0.5536841154098511,0.5640189051628113,0.517813503742218,0.5733428597450256,0.5421712398529053,0.7349017858505249,0.4682101309299469,0.7176335453987122,0.5508724451065063,0.9022108912467957,0.483365535736084,0.8849083185195923
squat,0.5360497236251831,0.3092567026615143,0.48200327157974243,0.32908400893211365,0.5134868621826172,0.3609461784362793,0.447244256734848,0.40682533383369446,0.487591415643692,0.29245394468307495,0.461298406124115,0.32011231780052185,0.5422114133834839,0.5355331301689148,0.5075490474700928,0.5415346622467041,0.5434125661849976,0.720466673374176,0.4795040488243103,0.7147731184959412,0.5511245727539062,0.8982190489768982,0.4840812087059021,0.8837973475456238
squat,0.5399061441421509,0.3054191768169403,0.4836028516292572,0.3196539282798767,0.5196159482002258,0.3396342694759369,0.4484884738922119,0.39354759454727173,0.49402743577957153,0.293054461479187,0.4663242697715759,0.3069208264350891,0.5345072150230408,0.5271288156509399,0.49844247102737427,0.5336787104606628,0.544533371925354,0.7177647948265076,0.4851280152797699,0.7109126448631287,0.5514581203460693,0.8957028985023499,0.4846950173377991,0.8824892640113831
squat,0.5423749089241028,0.30533257126808167,0.48499226570129395,0.3181822597980499,0.5246944427490234,0.3550627529621124,0.45282086730003357,0.40257856249809265,0.4974419176578522,0.29778221249580383,0.47074881196022034,0.3178715705871582,0.5308356285095215,0.5282150506973267,0.49584493041038513,0.5344972014427185,0.5427410006523132,0.7175633907318115,0.48615097999572754,0.7139530777931213,0.5494493842124939,0.8949618935585022,0.48356467485427856,0.8827924728393555
squat,0.5431504249572754,0.30575212836265564,0.4852740168571472,0.31881818175315857,0.5255065560340881,0.3695594370365143,0.45364341139793396,0.40283340215682983,0.49826908111572266,0.3009354770183563,0.4729141592979431,0.31773728132247925,0.529798150062561,0.5288741588592529,0.494166761636734,0.5345606207847595,0.5419896245002747,0.7198094725608826,0.4855164885520935,0.71565181016922,0.5495864152908325,0.8960934281349182,0.4828003942966461,0.8834515810012817
