Image_Name,Landmark,X,Y
plank,NOSE,0.6822497844696045,0.6085017919540405
plank,LEFT_EYE_INNER,0.690107524394989,0.6021759510040283
plank,LEFT_EYE,0.6907548904418945,0.5989619493484497
plank,LEFT_EYE_OUTER,0.6912464499473572,0.5957503914833069
plank,RIGHT_EYE_INNER,0.6882854700088501,0.6073457598686218
plank,RIGHT_EYE,0.6876817345619202,0.6078962087631226
plank,RIGHT_EYE_OUTER,0.6868951916694641,0.6084098815917969
plank,LEFT_EAR,0.6863371729850769,0.5788276791572571
plank,RIGHT_EAR,0.6803836226463318,0.5975111126899719
plank,MOUTH_LEFT,0.6743175983428955,0.5974028706550598
plank,MOUTH_RIGHT,0.6721856594085693,0.604523777961731
plank,LEFT_SHOULDER,0.6530133485794067,0.519334077835083
plank,RIGHT_SHOULDER,0.6144902110099792,0.5939311981201172
plank,LEFT_ELBOW,0.658784031867981,0.610879123210907
plank,RIGHT_ELBOW,0.6103775501251221,0.6914069652557373
plank,LEFT_WRIST,0.6719931960105896,0.6665732860565186
plank,RIGHT_WRIST,0.6700449585914612,0.6944730877876282
plank,LEFT_PINKY,0.6896201372146606,0.6783674359321594
plank,RIGHT_PINKY,0.6850064992904663,0.7015414237976074
plank,LEFT_INDEX,0.6880171298980713,0.67061847448349
plank,RIGHT_INDEX,0.6856495141983032,0.6852601766586304
plank,LEFT_THUMB,0.6815500855445862,0.6606118679046631
plank,RIGHT_THUMB,0.6801080703735352,0.6802014708518982
plank,LEFT_HIP,0.5365016460418701,0.48465102910995483
plank,RIGHT_HIP,0.5078986287117004,0.5117276906967163
plank,LEFT_KNEE,0.4880126714706421,0.525246262550354
plank,RIGHT_KNEE,0.4566361606121063,0.5475751757621765
plank,LEFT_ANKLE,0.433524489402771,0.5153042078018188
plank,RIGHT_ANKLE,0.4040449261665344,0.5269609093666077
plank,LEFT_HEEL,0.4215580224990845,0.5014082193374634
plank,RIGHT_HEEL,0.3904489576816559,0.5094046592712402
plank,LEFT_FOOT_INDEX,0.4315859079360962,0.5689775943756104
plank,RIGHT_FOOT_INDEX,0.40922534465789795,0.5821214318275452
plank,NOSE,0.67872154712677,0.6156463623046875
plank,LEFT_EYE_INNER,0.6870101690292358,0.6095172762870789
plank,LEFT_EYE,0.6877330541610718,0.6065488457679749
plank,LEFT_EYE_OUTER,0.6882596611976624,0.6035295128822327
plank,RIGHT_EYE_INNER,0.6850779056549072,0.6140199899673462
plank,RIGHT_EYE,0.6844726800918579,0.6142279505729675
plank,RIGHT_EYE_OUTER,0.6836854219436646,0.6143553853034973
plank,LEFT_EAR,0.6838890314102173,0.5857993364334106
plank,RIGHT_EAR,0.6777527928352356,0.5998631119728088
plank,MOUTH_LEFT,0.6704302430152893,0.6043747663497925
plank,MOUTH_RIGHT,0.6683332920074463,0.6101628541946411
plank,LEFT_SHOULDER,0.6528299450874329,0.5243016481399536
plank,RIGHT_SHOULDER,0.6126171350479126,0.5867587924003601
plank,LEFT_ELBOW,0.6575825810432434,0.6196800470352173
plank,RIGHT_ELBOW,0.6108009219169617,0.6910871267318726
plank,LEFT_WRIST,0.6743566989898682,0.67568039894104
plank,RIGHT_WRIST,0.6721294522285461,0.6922932863235474
plank,LEFT_PINKY,0.6916065216064453,0.684335470199585
plank,RIGHT_PINKY,0.6865924596786499,0.6988139748573303
plank,LEFT_INDEX,0.6899396181106567,0.6783225536346436
plank,RIGHT_INDEX,0.6868650913238525,0.6828291416168213
plank,LEFT_THUMB,0.6836656928062439,0.6713142991065979
plank,RIGHT_THUMB,0.6815263032913208,0.6773589253425598
plank,LEFT_HIP,0.5348092913627625,0.487457275390625
plank,RIGHT_HIP,0.5081280469894409,0.5066062211990356
plank,LEFT_KNEE,0.4801516830921173,0.5250815153121948
plank,RIGHT_KNEE,0.4551136791706085,0.5380471348762512
plank,LEFT_ANKLE,0.4275091886520386,0.513502299785614
